Tool,Version,Category,URL
"0d1n","263.2d723ae","blackarch-webapp","https://github.com/CoolerVoid/0d1n"
"0trace","1.5","blackarch-scanner","http://jon.oberheide.org/0trace/"
"3proxy","0.9.4","blackarch-proxy","https://github.com/3proxy/3proxy"
"3proxy-win32","0.8.13","blackarch-windows","http://3proxy.ru/"
"42zip","42","blackarch-dos","http://blog.fefe.de/?ts=b6cea88d"
"a2sv","140.cb24c4e","blackarch-scanner","https://github.com/hahwul/a2sv"
"abcd","4.2738809","blackarch-disassembler","https://github.com/MITRECND/abcd"
"abuse-ssl-bypass-waf","7.c28f98e","blackarch-webapp","https://github.com/LandGrey/abuse-ssl-bypass-waf"
"acccheck","0.2.1","blackarch-cracker","http://labs.portcullis.co.uk/tools/acccheck/"
"ace","1.10","blackarch-voip","http://ucsniff.sourceforge.net/ace.html"
"aclpwn","4.81480cc","blackarch-exploitation","https://github.com/fox-it/aclpwn.py"
"activedirectoryenum","0.5.0","blackarch-recon","https://github.com/CasperGN/ActiveDirectoryEnumeration"
"ad-ldap-enum","88.60bc5bb","blackarch-recon","https://github.com/CroweCybersecurity/ad-ldap-enum"
"ad-miner","v1.7.0.r0.g996b3be","blackarch-recon","https://github.com/Mazars-Tech/AD_Miner"
"adape-script","43.4d0b9ff","blackarch-windows","https://github.com/hausec/ADAPE-Script"
"adassault","0.0.3.r9.ga2bbe3f","blackarch-networking","https://noraj.github.io/ADAssault/"
"adenum","36.fbbe14d","blackarch-exploitation","https://github.com/SecuProject/ADenum"
"adexplorersnapshot","92.19e027e","blackarch-recon","https://github.com/c3c/ADExplorerSnapshot.py"
"adfind","v1.0.3.r0.g3a6a055","blackarch-webapp","https://github.com/sahakkhotsanyan/adfind"
"adfspray","6.3d7745d","blackarch-cracker","https://github.com/xFreed0m/ADFSpray"
"adidnsdump","25.8bbb4b0","blackarch-recon","https://github.com/dirkjanm/adidnsdump"
"admid-pack","0.1","blackarch-spoof","http://packetstormsecurity.com/files/10080/ADMid-pkg.tgz.html"
"adminpagefinder","0.1","blackarch-webapp","http://packetstormsecurity.com/files/112855/Admin-Page-Finder-Script.html"
"admsnmp","0.1","blackarch-scanner",""
"adpeas","1.3.0.r12.g58462f3","blackarch-windows","https://github.com/ajm4n/adpeas"
"aesfix","1.0.1","blackarch-cracker","http://citp.princeton.edu/memory/code/"
"aeskeyfind","1.0","blackarch-cracker","http://citp.princeton.edu/memory/code/"
"aespipe","2.4f","blackarch-crypto","http://loop-aes.sourceforge.net/aespipe/"
"aesshell","0.7","blackarch-backdoor","https://packetstormsecurity.com/files/132438/AESshell.7.html"
"afflib","3.7.19","blackarch-forensic","https://github.com/sshock/AFFLIBv3"
"afl++","4.21c","blackarch-fuzzer","https://aflplus.plus/"
"afpfs-ng","0.8.2","blackarch-networking","http://alexthepuffin.googlepages.com/"
"agafi","1.1","blackarch-windows","https://github.com/CoreSecurity/Agafi"
"against","0.2","blackarch-cracker","http://nullsecurity.net/tools/cracker.html"
"aggroargs","51.c032446","blackarch-exploitation","https://github.com/tintinweb/aggroArgs"
"aiengine","2.0.1","blackarch-networking","https://bitbucket.org/camp0/aiengine/downloads/"
"aimage","3.2.5","blackarch-forensic","http://www.afflib.org"
"aiodnsbrute","38.e773a4c","blackarch-recon","https://github.com/blark/aiodnsbrute"
"air","2.0.0","blackarch-forensic","https://sourceforge.net/projects/air-imager/"
"aircrack-ng","1.7","blackarch-wireless","https://www.aircrack-ng.org"
"airflood","0.1","blackarch-wireless","http://packetstormsecurity.com/files/51127/airflood.1.tar.gz.html"
